,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
238846,4E8vchN1eTiWqxfa9uJ5Uj,Montana,2,221973,0,['Yma Sumac'],['1HkQ4XrPffqcVW0TgTTw0d'],1951-01-01,0.264,0.258,1,-17.202,1,0.0408,0.918,0.00832,0.142,0.129,76.511,4
211058,4hYMwawSYnBSRSZWlc0zM6,En el Amor Soy un Idiota,39,149193,0,"['Chino Maiden', 'Charly Cass']","['53SoR4j3MpczRdO7FuHNZ4', '4hh6S9wCShcdmLJ0d4AhE4']",2017-11-20,0.681,0.811,9,-4.036,1,0.0395,0.334,0.0,0.109,0.784,95.962,4
330660,628o06tAWp6VnwBNJVNtGV,Ojos Mexicanos,39,249200,0,"['Lola Beltrán', 'Amalia Mendoza', 'Lucha Villa', 'Juan Gabriel', 'Vicente Fernández', 'Las Hermanas Padilla', 'Las Jilguerillas', 'El Piporro', 'La Prieta Linda']","['0qZlB7IX5lWPhlxsayt31p', '3zH5WktZU1xXqBZMsgV0IC', '2LYsttKhPVXOf7qD8kTCr1', '2MRBDr0crHWE5JwPceFncq', '4PPoI9LuYeFX8V674Z1R6l', '2PvsDSuPlWMsCnMcdnQzAZ', '0eeAs1exNZKyZNSFTVYInV', '2RDCFdmJvNbGQBILkTvF5q', '6lf2FV8VRnrAOIM2mEBqrG']",1996-01-01,0.221,0.23,0,-10.75,1,0.0427,0.317,2.79e-05,0.424,0.256,74.73,3
538025,2KyZ65hbMH6cduSP0Egugq,Thenum Vayambum - Male Vocals,14,276040,0,['K. J. Yesudas'],['2wPsNCwhEGb0KvChZ5DD52'],1981-12-01,0.259,0.42,9,-8.315,0,0.0312,0.89,0.000168,0.239,0.468,170.064,3
16515,2F0k6uThI5RWgN84pFwKUL,Claudio a mezza voce,1,242939,0,['Claudio Villa'],['2r4iOKmxTQU9s361Yt3gq1'],1942-11-13,0.585,0.0227,2,-17.359,1,0.0594,0.987,0.00105,0.164,0.835,123.605,4
162485,6g6N0HhdpogmRlBKNMZJFj,Bracelets Of Fingers,27,221013,0,['The Pretty Things'],['5U16QlMnlSAhkQxBZpLyLO'],1968-12,0.304,0.453,11,-12.143,1,0.045,0.124,8.67e-06,0.332,0.387,94.919,1
557627,6xqwBaNo7lGz2OAW488iD1,Magic Music,29,173533,0,['Kaela Kimura'],['56Eer6ASRcE4aJHJwejTuN'],2007-02-07,0.679,0.82,2,-2.301,1,0.0548,0.0647,4.55e-05,0.0767,0.853,137.015,3
256169,2PX6WAoHC307PEUBMkWkE3,There's Nothing Holdin Me Back,55,199420,0,['Q.Z.B'],['2bM99ltifHeWqA8pxQ5RdG'],2017-05-19,0.634,0.305,6,-10.262,0,0.0394,0.873,0.0,0.0968,0.238,113.969,4
340105,4y6gC4GrpFA9mo58H5ibRZ,Voksne,14,158307,0,['Jannicke Irwin Abrahamsen'],['0gYE1MePwHNk7rw1muWKqA'],1989-05-10,0.844,0.576,7,-10.405,1,0.0542,0.669,4.5e-05,0.119,0.966,126.046,4
478381,3MnAqVA2O5LQ3HLzBsO8mB,Tierra,35,206375,0,['Movimiento Original'],['50u2mXgysmTttY0BizYWAo'],2011-07-11,0.583,0.855,4,-4.114,0,0.127,0.593,0.0,0.346,0.769,89.938,4
345997,3q3xmzyYZrnsWrgOZ4GuNX,Love Of My Life (Queen),13,147600,0,['Midrone'],['7oO2652pFenJV0XGe80F3U'],1975,0.335,0.286,1,-8.99,1,0.0361,0.831,0.0,0.187,0.153,143.36,4
522336,4T8N1JTCYQSmcXnWeABSv5,Pawan Sut Binti Baram Baar,9,353267,0,"['Hari Om Sharan', 'Surinder Kaur', 'Ashok Khosla', 'Renu Chaudhary', 'Sunil Kumar']","['21ovRcIrUTUQsImvKCz9Ar', '5fucIZfxk9a3qSYc5nMkVC', '2fIO95bqKqcruVFfBV9fkb', '37sBceuUk196M8UbbCTZsN', '5SVnrzvYH72MOuNQudpq80']",1984-04-01,0.427,0.59,6,-13.276,1,0.0418,0.628,0.0,0.616,0.638,91.932,4
60784,7MYbzpwYe4idnynYQCE998,It's The End Of The World As We Know It (And I Feel Fine) - Remastered,51,247240,0,['R.E.M.'],['4KWTAlx2RvbpseOGMEmROg'],1987-09-01,0.329,0.942,7,-3.62,1,0.0586,0.0296,0.0,0.183,0.71,205.692,4
489294,4TVIYHpzFWrsIfCgkhtMtf,Insaciable Amante,15,266067,0,['Camilo Sesto'],['2Cy7KBSkqu7otJfuMTWT7Y'],1982-01-02,0.477,0.605,7,-6.346,0,0.0337,0.607,5.84e-05,0.109,0.521,134.271,4
156209,2sH1DIngiSA8EQfkcQXpBq,La Melodía,57,219103,0,['Joey Montana'],['3ATyg4fGC9F8trfb0GRWmX'],2010-01-01,0.701,0.836,9,-5.35,1,0.0284,0.226,2.76e-06,0.293,0.76,116.998,4
260988,3Alo7dnavTPvRffqlTYMsP,Huslicky,35,213440,0,"['AG Flek', 'Hradistan']","['0tzEsyFry0zxg0A7ejCws4', '1hsYqrWnIThB2oazrWmTOW']",1994-10-10,0.537,0.143,9,-19.369,1,0.0432,0.822,0.00145,0.258,0.278,112.084,4
34512,6BdrHOEmokkSxTyxCojD6r,Serenade,58,263493,0,"['Franz Schubert', 'Eugene Ormandy', 'Philadelphia Orchestra']","['2p0UyoPfYfI76PCStuXfOP', '3naY4Tq98GRh9K8xOsINyv', '6tdexW8bZTG8NgOFUCYQn1']",1961,0.105,0.0355,0,-25.317,1,0.0393,0.948,0.965,0.0956,0.039,91.169,4
571283,5DgV21wVNE8ElZh78NFhTT,Question Marks in Time,11,267014,0,['Dan Hill'],['5rOhfAsK4uxq9OdREiQRKa'],1976-09-01,0.477,0.302,2,-9.874,1,0.0432,0.66,0.0,0.133,0.212,69.861,4
4408,301p9XBvsYen2aKNgSWfgE,I Believe I'll Make a Change,0,178013,0,['Leroy Carr'],['2FtoVJBkfbE89zyZJ0E9eR'],1928,0.778,0.372,1,-12.55,1,0.0359,0.87,0.00106,0.123,0.773,98.219,4
549644,7fRF8InPgKgzrCLlqF8Rzp,Taste Of Honey,13,220000,0,['Yoshitaka Minami'],['5dS698oTdel4MldPvYoj7p'],1987,0.545,0.676,0,-13.371,1,0.0421,0.149,7.24e-06,0.0609,0.897,179.683,4
55098,5W6qPUtReSnrjnj9mLeAHV,J'aime regarder les filles - Version 45T,42,229973,0,['Patrick Coutin'],['4emUqFLk5iZsqEqawwEfRJ'],1981,0.677,0.563,7,-12.819,1,0.0419,0.193,6.44e-05,0.0707,0.903,133.051,4
279549,3SLzBNIRTDrCf7G8d2GtWn,One Day,0,500000,0,['Dezza'],['3p7y4jD6cIfONGyx6xaFik'],2018-12-14,0.795,0.786,11,-5.669,1,0.0508,0.0246,0.837,0.195,0.401,120.016,4
503077,7pyOac2i1AApK8V2jA9OFd,Data De Groove,17,280240,0,['Falco'],['0hLd40hVpRDGENe4KGZLnW'],1990-05-25,0.768,0.705,10,-13.412,0,0.0452,0.0148,0.592,0.0403,0.902,105.168,4
53082,2AOunLYKGvwya5xDfFxiFj,Deja Vu,43,304987,0,['Dionne Warwick'],['2JSjCHK79gdaiPWdKiNUNp'],1979-01-01,0.593,0.564,1,-12.585,0,0.0435,0.308,0.000128,0.0676,0.587,145.623,4
493759,1g78G4Xyk7g3hMACVPOPEx,Der große Abschied,13,219840,0,['Udo Jürgens'],['2G0htB8PxlO2onxnIismur'],1967-09-15,0.323,0.449,10,-10.177,0,0.0339,0.726,9.71e-05,0.27,0.355,90.676,4
209087,2LnGtzFkXaRj1CLks25AXH,"Felicidad, Felicidad",38,134867,0,['Los Iracundos'],['0xpMy6DeMBWX8zTURxB4h5'],2004-11-23,0.574,0.682,5,-8.766,1,0.0396,0.563,0.0,0.365,0.946,86.645,4
128997,5swSfPJA2eZOBh3VTSzAvy,Snow on the Sahara,48,258933,0,['Anggun'],['3ahVFszO9ucf8JQLCNQeYA'],1998-04-06,0.607,0.795,1,-6.614,0,0.0554,0.289,0.000164,0.064,0.771,83.955,4
21403,3kRhkFjRmCfBj2Mnpjf3en,Otello: Act IV: Niun mi tema,0,278013,0,"['Giuseppe Verdi', 'Arturo Toscanini']","['1JOQXgYdQV2yfrhewqx96o', '4xpgBZSojKNEQqQHXrwSXA']",1947,0.304,0.0812,4,-16.895,0,0.0524,0.986,0.463,0.111,0.04,118.961,4
400339,32nXo626Skw1tHWWYXKSKU,ESTATE80,56,181473,0,['PSICOLOGI'],['0fskdccy6fvnWMNMNPqEro'],2021-04-01,0.755,0.792,11,-5.466,1,0.0327,0.0179,0.0,0.234,0.965,123.025,4
339335,5mniHv4l44q5ipsdQPZAEJ,Jesus Tok De Små På Fanget,16,164520,0,['Børud-Gjengen'],['4o6Ia4RtdrFTcqYNqy4GZC'],1983-06-18,0.738,0.49,2,-10.268,1,0.0427,0.592,6.83e-05,0.16,0.762,141.237,4
