,id,followers,genres,name,popularity
189926,3sTj2lGLpPGthTxiCgNeN5,1090.0,['euskal rock'],Karidadeko benta,10
904896,23X1oxG1k7mwEIeaNbLeF7,4.0,[],Katerina Kourentzi,0
449212,72sxxI0pU2GRC8CNmpqZB2,7734.0,['taiwan pop'],Limi,33
417938,0FCJhkSK5EL0lw5Io8xdMX,1.0,[],Ruben & Alfonso Ramos,0
459804,6PFKzJX6qfJFth8Uf6ZUEV,455.0,[],Brandon Dhludhlu,6
1053299,4NqXy0nQDsW6dHrS4KSG54,6959.0,['banda carnavalera'],Banda Llano Verde,25
45023,3fUb97KMK2mirr4PQrYKVX,14804.0,"['carnaval', 'dutch pop', 'levenslied']",Vinzzent,51
1043353,6nwHZEepx80VFS8ipKytjb,2384.0,[],Koenige und Priester,0
376038,4hAtJilmEH9FlBpALVgW66,5.0,[],Patrick Redmond,0
427488,4F2G4jJkz8UUlbVfl9B8LC,1.0,[],Indept,0
616452,5CNf0l3IXVgZxiUGd3OwBG,68.0,['salsa international'],Conjunto La Perla,3
648689,5f85mL0Mb3vVIssl6n0jUe,270.0,[],Anna Klara,13
289292,6pLDSW3de0uRB6cP30krKv,14801.0,['christian pop'],Joshua Micah,36
485738,676RpqdEHSf5iABKLWq9Jq,5.0,[],Mimì Ferrari,0
648731,7kFH2XBKXkVPToqZfxVFWY,4.0,[],Gianluca Fregonese,0
137084,4bRcNJTLwLZmJM598wTQ3A,2989.0,"['baroque', 'german baroque']",Silvius Leopold Weiss,36
482059,1Diu7Lt0WpzWhqM12VRdzj,5.0,[],Rachel Philip,0
860556,417iuOhG864mHsQfn1WmYV,15.0,[],Perry Como & Eddie Fisher,0
770934,2i7HIlDhvULIL2cqV2tMaY,9.0,[],Borrah Minevitch Et Ses Vagabonds,0
625444,2bEmekn6lKmNFEMFWvnres,49.0,['musique pour enfant quebecois'],Ariane DesLions,12
78748,677sHrkjhB7IP4YwjzZyc4,128808.0,['australian indie'],Last Dinosaurs,55
198015,6wBLSFOSNFgdUme2WHGCWv,15894.0,['rap francais'],Eliott,38
787326,6KS5iRmcEuUlRqSldstsAC,126.0,['tongan pop'],Tui Mala Ma'afu,7
775251,2SRrI55bGkECZB2kobqmNt,17.0,[],Young Reed,0
619994,3obyZLGTRYk4TuZGXvRWgb,38.0,[],Dead Letter Dept.,0
220606,0ezCMQkF2T041b8HA3pnwQ,3640.0,[],MBrother,35
556274,7h0VECIWsfZ3i8VWu6BFlV,4.0,['j-core'],Groovetune,0
1087892,4LnvDFz8ZKNobQZGG0Fat0,2.0,[],Ken Korreis,0
189188,71ua0sE6zhpVOm6BYYV0Fc,296.0,[],A.m. Samurai,4
873123,3rFuQltaVgUWoCw5bDJIBj,22.0,[],DJ Vionic,0
477011,7xjDyaM48DEinyEQj5tUzG,5.0,[],Aaron Kerr & Swallows,0
203327,6kUQJlewgd3UFKVYrrmILh,216314.0,['post-teen pop'],Raven-Symoné,41
318747,0kyanVfLOAxWBjoDiZOnQp,108.0,[],Psychic Pressure,3
967081,5galLhK2t3r90UhmLxrFCE,1.0,[],Facet,0
341875,7AFE3A4ItriXh0V8QZ4uMh,44.0,['kuduro antigo'],Bobany King,0
151316,31PAzAvprOXLSA01ff7elC,15491.0,"['german trap', 'german underground rap', 'indie deutschrap']",Savvy,44
1008411,4qgaRCg39hgcsNGTIP76HY,17.0,[],Adriano Caroletti,2
495156,4drN7JG6hA0MVGXogn1LXT,22.0,[],Jazzandra,0
199528,7uEzxmEbGmlNRLkTXEwcBk,7865.0,"['nyc rap', 'uk drill']",HL8,39
582026,4XCjJ4tS1RUkft8nlkVBYE,9.0,[],Johann Beer,4
404552,5ECyYNzsUGOleOIRvhm9En,846.0,['hardvapour'],CMD094,18
426979,4qlF8TmYUCIRdQ4wE4qdmN,57.0,[],Astrogirls,0
829286,7ybbaTETR9aq05M6ud64ru,371.0,['deep disco'],New Paradise,15
150608,6j01m2VAztO8eS05tAawF5,35668.0,"['deep german hip hop', 'german hip hop', 'german underground rap', 'psychokore']",Bosca,53
430297,6jPXOGnsHN2phsr0RUJ0ze,53.0,[],PentaVision,0
418323,2FdTMoKlQiI4m0158FbrQE,618.0,"['diy emo', 'tulsa indie']",Ben Quad,7
718082,7CfJ8xDI9bUJV4LNe0C4Ye,1.0,[],Juel Trio,6
193516,1Njrx1AMU4ymWHjfSlwLpE,11394.0,"['balfolk', 'finnish folk', 'folkmusik', 'nordic folk', 'nyckelharpa']",Väsen,35
660733,4iRROg8Y2IiFu80fSfyciP,25.0,[],Dream Dance Alliance (D.D.A.),0
159666,40XnTnhTeDygOCDiVSMdBL,1312.0,"['brazilian modern jazz', 'piano mpb']",Salomão Soares,20
344896,7LxNPxukXq0FKTbCgCvJqD,44.0,['contemporary classical piano'],Karl Larson,8
716644,4ll6WzlJX5DGQJm2J1ZRvl,997.0,[],Fanfare Vagabontu,21
507068,3Z7iRwhNe6yn77cxTVsrwa,88.0,[],Mary Go Round,0
1003969,1Gzlv3cm8YdK5rOXykNjNu,17.0,[],Pat Foster & Dick Weissman,0
375365,71pCIYtfh4hBmwNooVkWjy,33.0,[],ขนหมากสายยอพท,10
966546,4yWw7EPFxvoHnljO64ZrcK,397.0,"['brazilian hardcore', 'brazilian punk', 'rock baiano']",Pastel de Miolos,5
953345,6GM9c0LqIQz6XzbYwVH7As,0.0,[],Martin Bilodeau,0
149747,1IdBrmfEK9UsSEygCEMxvg,7559.0,['croatian pop'],Jole,36
292621,0lltRc0kScserCoPf51D66,4.0,[],Al Goering,2
202556,6lT5xCLqQJlHXFdZnUkI2c,1818.0,['vietnamese hip hop'],Chị Cả,18
109379,128nclFC9jvTxS2anMgmtx,0.0,[],Seeta Agarwal,0
108146,3jElr0VXIpa143ohgByEnd,9.0,[],Primal Space,9
526253,2kivZuhnSODSkTVxaFSF93,25.0,[],Lowis,12
1088516,1ItkPdejY2aAHIizKQ9ind,76.0,[],Solidus,5
471595,5ZkQIAd7G8oy50TV9lO24P,1026.0,['deep groove house'],Semedo,42
839973,3Ip6TxRmughfAdWY6bDJuF,3.0,[],Lisl Neumaier,0
53734,3rE82NMVBb5C5tQ83o8u8N,102573.0,"['bossa nova', 'brazilian indie', 'mpb', 'nova mpb', 'samba']",Mariana Aydar,53
215714,5a8Ect32xqqHzPjKKSW7hx,4.0,[],"Alka Yagnik, Sonu Nigam, Shankar Mahadevan, Sukhwinder Singh, Udit Narayan, Chorus",0
720216,65JrFqJh3BPwF4CwXSOtHQ,6.0,[],Hands That Kill,0
886065,7leSMdA4W5909t8VUJZE6P,1264.0,['tamborazo'],Los Mejores Tamborazos De Mexico,10
1088339,2PZdpwUMMok7d9p0l6gUxQ,35.0,[],Faz,2
419524,7KKKISAakNph7cyWWRAXS5,31.0,[],Hnos. Málaga,2
259568,2VL3FrW2JNr7Tj8AzU6c8R,21.0,[],Jim & Stephen Bennett,0
946874,00FPDKVTb4ndxIEg0lGLBt,2.0,[],Niendeicher Sing- und Spielgemeinschaft,0
10814,3uFe305grMb3jwcC5UZ7gj,3.0,[],Karen Thisted,0
952576,2ofo1obFjzSqE1NfZARNz7,2.0,[],Jack Simpson,0
810477,63jUR7r3pSqoolu7QVsNbE,31.0,[],Lorenzo Cortés,13
1029298,42fXndQ8qbExAMwy9OoVdz,3.0,[],Verkosto,0
626431,13WCtXTHI3pBzCaTZEfwrM,385.0,[],Adam Kahati,30
1089129,6G39Q1QK4kRUWXw0UayBA5,208.0,[],Fabian Vieregge,3
540274,1nbiv1KxrpVPsT322X2Vlc,2.0,[],Matt Fuze,0
875938,2dEljsf1p78F1N2z6lkOfV,434.0,[],Calyx,14
486066,2Xqu7HHGrfMlQgonEKl3hA,128.0,[],Esemismo,8
74408,0N30tiaF2lFcpXeoLUi2Rc,0.0,[],X.Z.I.,0
11047,1NbFkNGF26XOKzNhPxPvA5,2009.0,[],Antony,31
304229,4cQLtHCiuPVNCBaIpt6CoX,26.0,['classical horn'],Norbert Hauptmann,4
207303,5FmviTXgCPzVWbEH41AUCV,519.0,[],Válogatás Lemez,14
841264,4r3juy9YgLEDhxM5hSE2zn,86.0,['derry indie'],Eamon Friel,1
265012,1Ulwwm1Nr3X7eDt4E862ZR,16720.0,[],Lito Camo,8
1089134,29QojCXl3PxYDky0cH60fK,860.0,['dark disco'],Niv Ast,16
940402,6vwyBtJA4ee4kYFSU353Yh,216.0,['polish electronica'],Stonkatank,0
159783,0HuUZip4HsqYsjkq4qZ6NB,171.0,[],Josh Ottum,2
